,close
2020-12-01,123.16
2020-12-02,124.62
2020-12-03,123.61
2020-12-04,127.2
2020-12-07,124.7
2020-12-08,125.71
2020-12-09,126.79
2020-12-10,124.96
2020-12-11,124.27
2020-12-14,123.53
2020-12-15,125.93
2020-12-16,125.55
2020-12-17,125.55
2020-12-18,125.85
2020-12-21,123.39
2020-12-22,123.61
2020-12-23,123.9
2020-12-24,124.69
2020-12-28,124.82
2020-12-29,123.8
2020-12-30,124.34
2020-12-31,125.88
2021-01-04,123.94
2021-01-05,126.14
2021-01-06,129.29
2021-01-07,128.99
2021-01-08,128.53
2021-01-11,128.58
2021-01-12,129.21
2021-01-13,126.92
2021-01-14,128.97
2021-01-15,128.39
2021-01-19,129.02
2021-01-20,130.08
2021-01-21,131.65
2021-01-22,118.61
2021-01-25,118.58
2021-01-26,122.49
2021-01-27,122.47
2021-01-28,120.08
2021-01-29,119.11
2021-02-01,120.54
2021-02-02,119.44
2021-02-03,119.12
2021-02-04,121.02
2021-02-05,121.79
2021-02-08,123.61
2021-02-09,122.1
2021-02-10,122.24
2021-02-11,120.91
2021-02-12,120.8
2021-02-16,120.07
2021-02-17,119.97
2021-02-18,120.73
2021-02-19,118.99
2021-02-22,120.86
2021-02-23,120.71
2021-02-24,123.21
2021-02-25,122.47
2021-02-26,118.93
2021-03-01,120.74
2021-03-02,120.33
2021-03-03,122.36
2021-03-04,120.11
2021-03-05,122.83
2021-03-08,124.81
2021-03-09,124.18
2021-03-10,127.87
2021-03-11,127.14
2021-03-12,127.61
2021-03-15,128.58
2021-03-16,128.24
2021-03-17,129.03
2021-03-18,130.06
2021-03-19,128.9
2021-03-22,130.55
2021-03-23,130.46
2021-03-24,130.62
2021-03-25,133.07
2021-03-26,136.38
2021-03-29,135.86
2021-03-30,134.72
2021-03-31,133.26
