,volume
1999-11-01,9551800
1999-11-02,11105400
1999-11-03,10369100
1999-11-04,16697600
1999-11-05,13737600
1999-11-08,8522300
1999-11-09,9551200
1999-11-10,8680300
1999-11-11,7147500
1999-11-12,9668400
1999-11-15,6259400
1999-11-16,8537400
1999-11-17,8355100
1999-11-18,18720500
1999-11-19,19678400
1999-11-22,13681600
1999-11-23,10665200
1999-11-24,9710400
1999-11-26,3108400
1999-11-29,5677700
1999-11-30,5758700
1999-12-01,5336400
1999-12-02,6216900
1999-12-03,14680300
1999-12-06,9928300
1999-12-07,11326100
1999-12-08,8139800
1999-12-09,16643000
1999-12-10,12588800
1999-12-13,7135200
1999-12-14,7437900
1999-12-15,9437900
1999-12-16,7122300
1999-12-17,7676800
1999-12-20,4836300
1999-12-21,4773500
1999-12-22,4005600
1999-12-23,4528700
1999-12-27,3740700
1999-12-28,4083100
1999-12-29,2683300
1999-12-30,3435100
1999-12-31,2870300
2000-01-03,10347700
2000-01-04,8227800
2000-01-05,12733200
2000-01-06,7971900
2000-01-07,11856700
2000-01-10,8540500
2000-01-11,7873300
2000-01-12,6803800
2000-01-13,8489700
2000-01-14,10956600
2000-01-18,7643900
2000-01-19,8634500
2000-01-20,17783400
2000-01-21,7868700
2000-01-24,6499200
2000-01-25,6936900
2000-01-26,4895100
2000-01-27,8324600
2000-01-28,6669400
2000-01-31,6202700
2000-02-01,7304700
2000-02-02,7707700
2000-02-03,6213800
2000-02-04,5405300
2000-02-07,5779500
2000-02-08,5464300
2000-02-09,5374700
2000-02-10,4446600
2000-02-11,5749400
2000-02-14,4544000
2000-02-15,5177500
2000-02-16,3966900
2000-02-17,5237500
2000-02-18,7673400
2000-02-22,7654800
2000-02-23,7435300
2000-02-24,9112000
2000-02-25,10312200
2000-02-28,8479900
2000-02-29,10484900
2000-03-01,10807800
2000-03-02,11192900
2000-03-03,10162800
2000-03-06,10747400
2000-03-07,10035100
2000-03-08,8376400
2000-03-09,6334100
2000-03-10,7093200
2000-03-13,7871000
2000-03-14,7973700
2000-03-15,5665900
2000-03-16,6622500
2000-03-17,8857300
2000-03-20,6563500
2000-03-21,6771600
2000-03-22,6137800
2000-03-23,6492400
2000-03-24,12125600
2000-03-27,11862900
2000-03-28,8149600
2000-03-29,7312300
2000-03-30,9158000
2000-03-31,8015200
2000-04-03,7715600
2000-04-04,16667200
2000-04-05,8693500
2000-04-06,8887400
2000-04-07,5380300
2000-04-10,5507300
2000-04-11,7738700
2000-04-12,8885200
2000-04-13,8236400
2000-04-14,11782000
2000-04-17,9969500
2000-04-18,8205500
2000-04-19,14674500
2000-04-20,10633300
2000-04-24,8523100
2000-04-25,9576400
2000-04-26,6182800
2000-04-27,6317500
2000-04-28,4888600
2000-05-01,4196100
2000-05-02,4085000
2000-05-03,5543800
2000-05-04,3631300
2000-05-05,4695100
2000-05-08,4826900
2000-05-09,4864900
2000-05-10,10012700
2000-05-11,8106200
2000-05-12,5599700
2000-05-15,5907800
2000-05-16,7265800
2000-05-17,5524500
2000-05-18,4577200
2000-05-19,6419200
2000-05-22,6769400
2000-05-23,5978900
2000-05-24,8184200
2000-05-25,5967600
2000-05-26,4296900
2000-05-30,3617500
2000-05-31,3732500
2000-06-01,5712500
2000-06-02,5473300
2000-06-05,7281400
2000-06-06,5369400
2000-06-07,11115500
2000-06-08,9325600
2000-06-09,4739100
2000-06-12,3640300
2000-06-13,4008600
2000-06-14,5282600
2000-06-15,5386300
2000-06-16,8046200
2000-06-19,6059200
2000-06-20,7103800
2000-06-21,6487000
2000-06-22,4853100
2000-06-23,3360900
2000-06-26,3625900
2000-06-27,6607900
2000-06-28,6436600
2000-06-29,7688500
2000-06-30,8612600
2000-07-03,2304400
2000-07-05,14339600
2000-07-06,12932700
2000-07-07,9031700
2000-07-10,4212200
2000-07-11,5619800
2000-07-12,5550500
2000-07-13,5669700
2000-07-14,4020000
2000-07-17,6632700
2000-07-18,6452700
2000-07-19,7781400
2000-07-20,23048400
2000-07-21,8966400
2000-07-24,6814400
2000-07-25,5566900
2000-07-26,6670400
2000-07-27,4047400
2000-07-28,5355600
2000-07-31,5113500
2000-08-01,2996500
2000-08-02,5877900
2000-08-03,5567400
2000-08-04,4460500
2000-08-07,5910700
2000-08-08,5736700
2000-08-09,6585400
2000-08-10,5484100
2000-08-11,6142400
2000-08-14,4949400
2000-08-15,4378100
2000-08-16,5946000
2000-08-17,4338400
2000-08-18,4127500
2000-08-21,3234200
2000-08-22,2769400
2000-08-23,4251200
2000-08-24,5988300
2000-08-25,8279000
2000-08-28,8536600
2000-08-29,6040000
2000-08-30,4928800
2000-08-31,5469500
2000-09-01,5776300
2000-09-05,4112100
2000-09-06,6473000
2000-09-07,4622800
2000-09-08,4993700
2000-09-11,7617700
2000-09-12,5001700
2000-09-13,5473600
2000-09-14,4425500
2000-09-15,5481700
2000-09-18,3932800
2000-09-19,3341000
2000-09-20,4623400
2000-09-21,4302200
2000-09-22,5930100
2000-09-25,4291000
2000-09-26,6217200
2000-09-27,5948900
2000-09-28,5309100
2000-09-29,9594600
2000-10-02,8872200
2000-10-03,11744200
2000-10-04,11668900
2000-10-05,5547000
2000-10-06,6108400
2000-10-09,4898000
2000-10-10,5614200
2000-10-11,8775800
2000-10-12,9704900
2000-10-13,9092600
2000-10-16,7710400
2000-10-17,8882500
2000-10-18,29777800
2000-10-19,17966900
2000-10-20,9369200
2000-10-23,9338600
2000-10-24,8826200
2000-10-25,14058500
2000-10-26,10135700
2000-10-27,6431400
2000-10-30,8084000
2000-10-31,10902600
2000-11-01,7466200
2000-11-02,7445100
2000-11-03,5848500
2000-11-06,4448500
2000-11-07,5420600
2000-11-08,6990800
2000-11-09,9047900
2000-11-10,6807900
2000-11-13,8684900
2000-11-14,5150900
2000-11-15,4160300
2000-11-16,3739700
2000-11-17,7717400
2000-11-20,7426600
2000-11-21,7180700
2000-11-22,5537100
2000-11-24,2497500
2000-11-27,3866200
2000-11-28,4799100
2000-11-29,5524600
2000-11-30,10651400
2000-12-01,7525100
2000-12-04,5566800
2000-12-05,7804200
2000-12-06,10096900
2000-12-07,7922000
2000-12-08,6140600
2000-12-11,6185600
2000-12-12,7913300
2000-12-13,6992600
2000-12-14,6131400
2000-12-15,14254500
2000-12-18,7693800
2000-12-19,7705300
2000-12-20,12579400
2000-12-21,12725500
2000-12-22,9514000
2000-12-26,6052300
2000-12-27,8245100
2000-12-28,9798600
2000-12-29,6943700
2001-01-02,8007200
2001-01-03,12769900
2001-01-04,15420500
2001-01-05,8043200
2001-01-08,6064800
2001-01-09,7547100
2001-01-10,7656100
2001-01-11,9635000
2001-01-12,6448000
2001-01-16,5671900
2001-01-17,9727000
2001-01-18,25244900
2001-01-19,14762200
2001-01-22,9618500
2001-01-23,9826900
2001-01-24,6760900
2001-01-25,4982100
2001-01-26,9095200
2001-01-29,5125000
2001-01-30,8242000
2001-01-31,8314200
2001-02-01,5580800
2001-02-02,5428400
2001-02-05,5113700
2001-02-06,7526400
2001-02-07,9006900
2001-02-08,8380800
2001-02-09,6318800
2001-02-12,6729300
